id,name,latitude_deg,longitude_deg,iata_code
326733,Amgu Airport,45.84126,137.673568,AEM
3130,Aioun el Atrouss Airport,16.7112999,-9.637880325,AEO
5771,Jorge Newbery Airpark,-34.5592,-58.4156,AEP
6519,Sochi International Airport,43.449902,39.9566,AER
2564,Ålesund Airport,62.5625,6.119699955,AES
13176,Allakaket Airport,66.55180359,-152.621994,AET
5138,Abumusa Island Airport,25.8757,55.03300095,AEU
3365,Alexandria International Airport,31.32740021,-92.54979706,AEX
117,Akureyri Airport,65.66000366,-18.0727005,AEY
5788,Suboficial Ay Santiago Germano Airport,-34.588299,-68.4039,AFA
27290,Port Alfred Airport,-33.55419922,26.87770081,AFD
19245,USAF Academy Airfield,38.96969986,-104.8130035,AFF
30620,Amalfi Airport,6.91667,-75.0667,AFI
309041,Kondavattavana Tank Seaplane Base,7.284,81.644,AFK
5864,Piloto Osvaldo Marques Dias Airport,-9.866389275,-56.10499954,AFL
19248,Jaffrey Airport Silver Ranch Airport,42.80509949,-72.00299835,AFN
19249,Afton Municipal Airport,42.71120071,-110.9420013,AFO
301665,Afore Airstrip,-9.142222222,148.3908333,AFR
41685,Sugraly Airport,41.61389923,64.23320007,AFS
301649,Afutara Aerodrome,-9.191388889,160.9486111,AFT
3366,Fort Worth Alliance Airport,32.98759842,-97.31880188,AFW
4514,Afyon Airport,38.72639847,30.60110092,AFY
5185,Sabzevar National Airport,36.16809845,57.59519958,AFZ
3101,Al Massira Airport,30.32500076,-9.413069725,AGA
2248,Augsburg Airport,48.425278,10.931667,AGB
3367,Allegheny County Airport,40.35440063,-79.93019867,AGC
41362,Anggi Airport,-1.3858,133.8737,AGD
28751,Wangerooge Airport,53.78277969,7.913888931,AGE
4058,Agen-La Garenne Airport,44.17470169,0.590556026,AGF
301650,Angoram Airport,-4.055833333,144.0738889,AGG
2711,Ängelholm-Helsingborg Airport,56.29610062,12.84710026,AGH
41510,Wageningen Airstrip,5.841128,-56.673328,AGI
30621,Aguni Airport,26.59250069,127.2409973,AGJ
301651,Kagua Airport,-6.396388889,143.8536111,AGK
301652,Wanigela Airport,-9.3375,149.1555556,AGL
16093,Angoon Seaplane Base,57.503601,-134.585007,AGN
19251,Magnolia Municipal Airport,33.22800064,-93.21700287,AGO
4020,Málaga Airport,36.67490005,-4.499110222,AGP
4249,Agrinion Air Base,38.602001,21.3512001,AGQ
26537,Agra Airport,27.15579987,77.96089935,AGR
3368,Augusta Regional At Bush Field,33.36989975,-81.96450043,AGS
6091,Guarani International Airport,-25.454516,-54.842682,AGT
4691,Jesús Terán Paredo International Airport,21.705601,-102.318001,AGU
6249,Oswaldo Guevara Mujica Airport,9.553375244,-69.23786926,AGV
30622,Agnew Airport,-12.14560032,142.1490021,AGW
26602,Agatti Airport,10.82369995,72.1760025,AGX
314491,Argyle Downs Airport,-16.514,128.9245,AGY
2768,Aggeneys Airport,-29.28179932,18.81389999,AGZ
5082,Abha Regional Airport,18.24040031,42.65660095,AHB
19254,Amedee Army Air Field,40.26620102,-120.1529999,AHC
18462,Ardmore Downtown Executive Airport,34.14699936,-97.12270355,AHD
4997,Ahe Airport,-14.42809963,-146.2570038,AHE
18661,Arapahoe Municipal Airport,40.33950043,-99.90650177,AHF
19255,Amery Municipal Airport,45.28110123,-92.37539673,AHH
30623,Amahai Airport,-3.34800005,128.9259949,AHI
312371,Hongyuan Airport,32.53154,102.35224,AHJ
30624,Aishalton Airport,2.486530066,-59.31340027,AHL
20987,Ashland Municipal Sumner Parker Field,42.19029999,-122.6610031,AHM
3369,Athens Ben Epps Airport,33.94860077,-83.32630157,AHN
4330,Alghero-Fertilia Airport,40.632099,8.29077,AHO
30625,Ahuas Airport,15.4722,-84.352203,AHS
299321,Amchitka Army Airfield,51.37777778,179.2591667,AHT
299322,Amchitka Army Airfield,51.37777778,179.2591667,AHT
3119,Cherif Al Idrissi Airport,35.17710114,-3.839519978,AHU
299324,Ambatolhy Airport,-20.01583333,45.535,AHY
28891,Altiport L'Alpe d'Huez - Henri GIRAUD,45.088299,6.08472,AHZ
19257,Alliance Municipal Airport,42.05319977,-102.8040009,AIA
299328,Ailinglaplap Airok Airport,7.279422,168.8257,AIC
19259,Anderson Municipal Darlington Field,40.10860062,-85.61299896,AID
46170,Aiome Airport,-5.145699978,144.7307003,AIE
45622,Marcelo Pires Halzhausen Airport,-22.64,-50.453056,AIF
30626,Yalinga Airport,6.519999981,23.26000023,AIG
301654,Aiambak Airport,-7.342777778,141.2675,AIH
39580,Ali-Sabieh Airport,11.14688889,42.72,AII
19261,Aiken Municipal Airport,33.6493988,-81.68499756,AIK
42184,Alligandi Airport,9.2226,-78.0236,AIL
35201,Ailuk Airport,10.21679974,169.9830017,AIM
5422,Wainwright Airport,70.63800049,-159.9949951,AIN
19262,Atlantic Municipal Airport,41.40729904,-95.04689789,AIO
26542,Adampur Airport,31.4338,75.758797,AIP
30627,Aripuanã Airport,-10.188278,-59.457273,AIR
30628,Arorae Island Airport,-2.616110086,176.8029938,AIS
4957,Aitutaki Airport,-18.83090019,-159.7640076,AIT
30629,Enua Airport,-19.96780014,-158.1190033,AIU
19264,George Downer Airport,33.106499,-88.1978,AIV
315385,Ai-Ais Airport,-27.995,17.5966,AIW
19265,Atlantic City Municipal Bader Field,39.36000061,-74.45610046,AIY
19266,Lee C Fine Memorial Airport,38.09600067,-92.54949951,AIZ
4126,Ajaccio-Napoléon Bonaparte Airport,41.92359924,8.802920341,AJA
5119,Al-Jawf Domestic Airport,29.78510094,40.09999847,AJF
4560,Ağrı Airport,39.65454102,43.02597809,AJI
30630,Akjoujt Airport,19.73301697,-14.38324928,AJJ
5161,Arak Airport,34.13809967,49.84730148,AJK
26510,Lengpui Airport,23.84059906,92.61969757,AJL
2903,Ouani Airport,-12.13169956,44.43030167,AJN
2691,Arvidsjaur Airport,65.59030151,19.28190041,AJR
30631,Abreojos Airport,26.72719955,-113.5589981,AJS
5862,Santa Maria Airport,-10.98400021,-37.07030106,AJU
2127,Mano Dayak International Airport,16.9659996,8.000109673,AJY
30632,Ankang Wulipu Airport,32.708099,108.931,AKA
16190,Atka Airport,52.22029877,-174.2059937,AKB
3370,Akron Fulton International Airport,41.03749847,-81.46690369,AKC
26432,Akola Airport,20.698999,77.058601,AKD
30633,Akieni Airport,-1.139670014,13.90359974,AKE
3222,Kufra Airport,24.17869949,23.31399918,AKF
42760,Anguganak Airport,-3.560504,142.217307,AKG
5109,Prince Sultan Air Base,24.06270027,47.58050156,AKH
16191,Akiak Airport,60.9029007,-161.2310028,AKI
5558,Asahikawa Airport,43.67079926,142.4470062,AKJ
16192,Akhiok Airport,56.93870163,-154.1829987,AKK
5023,Auckland International Airport,-37.0080986,174.7920074,AKL
301754,Zakuoma Airport,10.89027778,19.81722222,AKM
5380,King Salmon Airport,58.67679977,-156.6490021,AKN
