origin_airport,destination_airport,SumOfSumC (tonnes),in kg
REC,GRU," 11,234 ",11234117.45
PEK,HAK," 11,213 ",11212539.39
MEX,MTY," 11,157 ",11157394.6
EZE,MIA," 11,155 ",11154759.81
TPE,LAX," 11,149 ",11148636.68
MIA,LGA," 11,138 ",11138092.99
SIN,ICN," 11,119 ",11119266.49
DXB,SYD," 11,087 ",11087322.21
SHA,CAN," 11,040 ",11039994.72
MTY,MEX," 11,029 ",11028632.79
TIJ,GDL," 11,002 ",11002387.98
CKG,PEK," 10,992 ",10991959.02
GDL,TIJ," 10,967 ",10966772.03
KUL,HKG," 10,926 ",10925528.61
SYD,LAX," 10,802 ",10802472.34
GRU,REC," 10,758 ",10757720.11
BOS,LAX," 10,743 ",10742875.41
HND,KOJ," 10,719 ",10718937.6
ITM,HND," 10,716 ",10716244.54
CGK,SIN," 10,628 ",10628472.23
ATL,LGA," 10,619 ",10619433.27
SFO,LHR," 10,600 ",10599660.98
PEK,BKK," 10,598 ",10598262.81
LHR,SFO," 10,542 ",10541522.23
LGA,ORD," 10,531 ",10531472.46
DFW,LAX," 10,500 ",10499803.19
TPE,KUL," 10,397 ",10397481.05
CGH,SDU," 10,386 ",10385548.91
ICN,TPE," 10,366 ",10366390.06
SYD,HKG," 10,331 ",10330579.66
DXB,JNB," 10,296 ",10296304.24
HAK,PEK," 10,288 ",10287903.15
BOS,SFO," 10,287 ",10286825.67
IAD,SFO," 10,211 ",10211202.25
PVG,LAX," 10,205 ",10205034.01
PVG,SIN," 10,200 ",10200148.06
LGA,ATL," 10,129 ",10128549.07
MEL,OOL," 10,055 ",10054653.93
DMK,HKT," 10,004 ",10004116.07
BOM,BLR," 10,003 ",10002651.01
KNO,CGK," 9,997 ",9997178.433
BKI,KUL," 9,982 ",9981550.922
BLR,BOM," 9,899 ",9899238.055
BKK,SIN," 9,880 ",9880126.005
JFK,DXB," 9,872 ",9871941.75
OOL,MEL," 9,855 ",9855262.405
HKT,DMK," 9,777 ",9776705.021
LHR,BKK," 9,774 ",9773776.631
CTU,SZX," 9,771 ",9770835.488
DEL,MAA," 9,763 ",9763193.157
DXB,PER," 9,754 ",9754391.607
PEK,URC," 9,704 ",9704496.981
HGH,PEK," 9,686 ",9685537.692
ICN,SIN," 9,663 ",9662649.705
KUL,BKI," 9,656 ",9656437.996
CAN,CKG," 9,656 ",9656422.343
MNL,LAX," 9,639 ",9639375.039
SYD,AKL," 9,627 ",9627152.8
MCO,LAX," 9,623 ",9622801.669
DEL,PNQ," 9,604 ",9604363.461
JED,KUL," 9,564 ",9564292.696
NRT,BKK," 9,546 ",9546442.01
IAD,LAX," 9,512 ",9511833.847
LHR,JNB," 9,496 ",9496342.389
ICN,NRT," 9,488 ",9488404.564
SIN,DXB," 9,466 ",9466231.389
MNL,DVO," 9,466 ",9465728.268
DXB,MNL," 9,463 ",9463013.195
PNQ,DEL," 9,458 ",9458408.448
NRT,ICN," 9,384 ",9383799.276
LAX,IAD," 9,342 ",9342213.855
URC,PEK," 9,297 ",9297230.082
GOI,DEL," 9,292 ",9291630.638
KUL,JED," 9,263 ",9263498.793
OKA,FUK," 9,219 ",9218706.419
DEN,LAX," 9,212 ",9212367.932
BKK,TPE," 9,209 ",9208978.073
LIM,CUZ," 9,202 ",9202275.099
KUL,KCH," 9,194 ",9193945.647
MNL,HKG," 9,189 ",9188867.071
FUK,OKA," 9,162 ",9162100.263
PVG,CTU," 9,156 ",9156040.497
LAX,MEL," 9,142 ",9141959.033
LAX,DEN," 9,111 ",9110593.022
PEK,CKG," 9,090 ",9089960.84
DMK,CNX," 9,085 ",9085343.077
DFW,LGA," 9,074 ",9073873.715
DXB,CPT," 9,072 ",9072005.541
HKG,MNL," 8,983 ",8982769.486
LHR,MIA," 8,948 ",8948481.85
JNB,DXB," 8,934 ",8933986.299
MNL,RUH," 8,925 ",8925357.495
HKG,SFO," 8,917 ",8916953.63
SIN,NRT," 8,863 ",8862924.733
ICN,JFK," 8,848 ",8847605.364
KUL,TPE," 8,846 ",8846273.14
DXB,KUL," 8,835 ",8834624.777
DXB,MAN," 8,785 ",8785423.811
AKL,SYD," 8,779 ",8778870.023
TPE,ICN," 8,760 ",8760100.177
BKK,NRT," 8,751 ",8751306.309
KMJ,HND," 8,695 ",8694940.66
CKG,SZX," 8,689 ",8689360.606
LGA,DFW," 8,659 ",8658938.298
CCU,DEL," 8,657 ",8656567.506
ICN,KIX," 8,655 ",8655189.306
CGK,UPG," 8,648 ",8648140.665
SZX,CKG," 8,638 ",8637840.908
BSB,CGH," 8,638 ",8637789.95
SIN,BKK," 8,627 ",8627029.8
GRU,FOR," 8,623 ",8623252.107
SIN,PEK," 8,611 ",8610842.36
ORD,LAS," 8,567 ",8567288.583
MIA,LAX," 8,498 ",8498151.063
EWR,MCO," 8,485 ",8485062.159
PVG,NRT," 8,480 ",8479616.821
KCH,KUL," 8,467 ",8467329.812
MEL,KUL," 8,455 ",8455197.912
DXB,LGW," 8,440 ",8439944.971
PEK,CSX," 8,439 ",8439402.829
LGA,MIA," 8,439 ",8438640.904
SDU,CGH," 8,437 ",8436905.631
CGH,BSB," 8,419 ",8419378.789
KUL,ICN," 8,414 ",8413590.072
SYD,ICN," 8,393 ",8393193.23
KOJ,HND," 8,383 ",8382553.15
LAX,DFW," 8,358 ",8357607.757
NRT,PVG," 8,347 ",8346709.369
LAX,MIA," 8,325 ",8324630.891
PEK,SIN," 8,296 ",8295662.354
MNL,ICN," 8,278 ",8277982.47
ICN,SYD," 8,254 ",8254019.115
FOR,GRU," 8,237 ",8236876.175
JED,CAI," 8,225 ",8225277.678
DEL,HYD," 8,208 ",8207520.843
ATL,LAS," 8,201 ",8201028.243
LAS,ORD," 8,181 ",8181191.228
KUL,SYD," 8,179 ",8178892.22
MCO,EWR," 8,175 ",8174627.927
BKK,SYD," 8,158 ",8157821.459
HKG,DXB," 8,153 ",8152896.882
CGK,SUB," 8,093 ",8093095.939
TLS,ORY," 8,080 ",8080133.853
PHX,MSP," 8,077 ",8076632.083
CSX,PEK," 8,073 ",8072514.543
GRU,SSA," 8,071 ",8070590.179
PEK,XMN," 8,050 ",8050224.018
HYD,DEL," 8,027 ",8027291.376
LAX,PVG," 8,024 ",8024241.597
SGN,ICN," 8,024 ",8024107.894
HDY,DMK," 7,995 ",7994816.692
CTG,BOG," 7,986 ",7986186.154
